collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-01-04,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,177522.39831578947,12.45
2023-01-05,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,153118.5194560531,12.600000000000001
2023-01-09,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,329042.08844884485,12.85
2023-01-11,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,190856.88736969692,13.100000000000001
2023-01-12,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,220289.47762962963,15.9
2023-01-16,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,125470.76193732192,10.3
2023-01-18,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,255709.4727975077,9.55
2023-01-19,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,460270.1898039215,9.6
2023-01-23,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,179882.30647811448,13.25
2023-01-25,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,98305.46541387025,12.649999999999999
2023-01-26,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,119105.0470748299,15.3
2023-01-30,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,96813.45192509364,9.350000000000001
2023-02-01,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,169219.17447975077,9.3
2023-02-02,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,204958.770259887,10.05
2023-02-06,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,158098.06393073592,11.05
2023-02-08,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,155664.70695986037,12.25
2023-02-09,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,304521.8756996997,12.7
2023-02-13,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,480873.08757333335,11.95
2023-02-15,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,637542.4678787878,10.45
2023-02-16,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,309496.9650758621,8.8
2023-02-22,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,122126.3610980392,7.5
2023-02-23,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,213016.651308642,6.9
2023-02-27,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,93884.15018439716,7.8999999999999995
2023-03-01,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,84243.05918518521,8.899999999999999
