collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-01-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,527757.1386122447,13.35
2023-01-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,389195.9064556354,11.9
2023-01-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,198762.0133333333,15.3
2023-01-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313013.5231773049,13.600000000000001
2023-01-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,568464.4282469136,13.6
2023-01-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,177868.14605504586,13.05
2023-01-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,187832.54543089427,13.1
2023-01-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,149804.95480341878,12.25
2023-01-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,150878.65433962265,11.4
2023-01-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,256297.58020618555,11.399999999999999
2023-01-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,121605.5365490196,13.899999999999999
2023-01-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,136392.97075338752,14.45
2023-01-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,228895.96626666668,12.5
2023-01-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,235550.44203921568,12.25
2023-02-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,354998.42550724634,12.2
2023-02-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,342849.4135111111,15.0
2023-02-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,169614.4273777778,16.4
2023-02-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,394020.0805245901,15.55
2023-02-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,455043.3848553459,11.7
2023-02-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,231768.9015384615,13.3
2023-02-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,193560.1419079189,12.2
2023-02-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,310579.0803393939,14.15
2023-02-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,267393.8097087379,16.4
2023-02-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,466755.3435588972,10.55
2023-02-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,229866.1409185185,8.600000000000001
2023-02-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,501109.0911161049,10.0
2023-03-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,236003.0280193236,11.350000000000001
2023-03-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,178507.33851094893,12.2
2023-03-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,240083.00435327628,12.75
2023-03-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,266708.9107403685,12.75
2023-03-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,198217.1400251572,15.3
2023-03-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,212947.11882251085,16.1
2023-03-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,181389.5089523809,15.0
2023-03-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,152002.04663247857,15.0
2023-03-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,119759.2802424242,14.45
2023-03-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,122063.79653731344,11.95
2023-03-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,93703.98004705884,15.0
2023-03-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,139738.0588017217,15.850000000000001
2023-03-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,108467.92406917393,12.25
2023-04-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,202232.93742969187,15.85
2023-04-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,80220.60513584426,15.0
2023-04-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,126018.52573320044,14.45
2023-04-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313045.37482448976,16.950000000000003
2023-04-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,75820.18949155082,17.75
2023-04-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,117686.88833849329,15.0
2023-04-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,255240.27849885737,14.7
2023-04-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,81979.9622000597,15.55
2023-04-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,96779.7906997285,16.7
2023-04-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,88981.46580428637,19.15
2023-04-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,87497.60385806297,18.35
2023-04-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,191881.8836401664,18.05
2023-04-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,84487.90732636777,16.9
