clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
27,2023-01-01,4.0,29,245,115,96,801,481,16.1,1672614000,2.7,306,6.9,1672610400,8.3,1672581600,0.0,0.0,1008,final,61.7,1011,0,,112,686,5880,2763,2688,11.7,1672560000,306,11.8,3.1
95,2023-01-02,4.1,29,245,116,96,802,482,11.1,1672693200,0.9,101,9.8,1672714800,7.2,1672668000,6.5,6.5,1008,final,73.1,1011,0,,29,688,5889,2775,703,8.8,1672646400,101,14.4,4.5
91,2023-01-03,6.7,29,246,116,96,803,484,12.2,1672779600,0.8,76,7.2,1672747200,7.0,1672750800,0.0,0.0,1011,final,81.8,1014,0,,27,690,5900,2788,641,9.7,1672732800,76,7.2,3.5
98,2023-01-04,9.3,29,246,117,97,804,485,14.4,1672873200,0.9,131,14.6,1672876800,9.4,1672819200,29.3,29.3,1004,final,82.7,1007,0,,28,693,5912,2802,664,12.2,1672819200,131,24.0,7.6
88,2023-01-05,9.3,29,247,117,97,805,487,14.4,1672912800,1.1,207,10.3,1672920000,11.0,1672984800,11.0,11.0,1009,final,80.8,1012,0,,38,696,5927,2817,913,12.5,1672905600,207,19.0,6.5
94,2023-01-06,7.8,29,248,118,97,806,489,15.6,1673042400,0.9,139,6.9,1673028000,10.0,1673013600,0.3,0.3,1019,final,73.5,1022,0,,29,699,5945,2833,692,12.5,1672992000,139,8.0,4.0
97,2023-01-07,6.4,29,249,119,97,807,491,14.4,1673132400,0.9,143,16.5,1673136000,11.1,1673143200,4.8,4.8,1011,final,65.8,1015,0,,30,703,5965,2850,724,12.7,1673078400,143,23.8,7.5
81,2023-01-08,9.8,29,249,120,97,808,494,16.1,1673208000,1.3,160,15.6,1673164800,11.0,1673164800,15.0,15.0,1011,final,78.4,1014,0,,59,706,5988,2869,1409,13.6,1673164800,160,19.2,5.6
84,2023-01-09,10.5,30,251,120,97,809,496,14.4,1673305200,0.9,193,10.7,1673251200,10.6,1673323200,26.0,26.0,1004,final,85.3,1007,0,,33,709,6013,2888,796,13.0,1673251200,193,17.6,4.0
81,2023-01-10,8.0,30,252,121,98,810,499,13.9,1673341200,1.3,200,13.4,1673352000,9.4,1673384400,9.0,9.0,1006,final,75.9,1009,0,,62,713,6039,2909,1494,12.1,1673337600,200,19.6,7.9
97,2023-01-11,9.2,30,253,122,98,811,501,14.4,1673503200,0.9,140,10.0,1673485200,10.6,1673445600,11.8,11.8,1015,final,81.6,1018,0,,24,717,6067,2930,581,12.3,1673424000,140,17.0,7.4
89,2023-01-12,9.0,30,254,123,98,813,504,18.9,1673560800,1.3,136,7.8,1673568000,12.8,1673535600,0.0,0.0,1016,final,67.2,1019,0,,52,720,6097,2953,1248,15.2,1673510400,136,16.0,4.3
90,2023-01-13,9.5,30,255,124,98,814,507,15.0,1673614800,1.4,152,9.4,1673622000,11.7,1673640000,7.5,7.5,1012,final,77.8,1015,0,,52,724,6127,2977,1256,13.5,1673596800,152,14.9,5.0
91,2023-01-14,10.0,30,257,125,99,815,510,14.4,1673726400,0.9,204,11.8,1673708400,10.6,1673751600,20.8,20.8,1003,final,84.1,1006,0,,31,728,6159,3002,733,12.7,1673683200,204,19.1,6.2
94,2023-01-15,8.0,30,258,126,99,817,513,12.2,1673812800,0.9,149,9.4,1673798400,8.3,1673848800,29.0,29.0,1002,final,85.4,1005,0,,25,732,6191,3028,593,10.3,1673769600,149,10.3,4.7
74,2023-01-16,5.8,31,259,127,99,818,516,12.8,1673906400,1.4,293,13.2,1673906400,7.2,1673870400,12.5,12.5,1002,final,74.5,1005,0,,60,736,6225,3055,1438,10.2,1673856000,293,18.2,7.0
23,2023-01-17,4.3,31,261,128,99,819,519,12.2,1673989200,3.0,194,4.5,1674003600,3.9,1673964000,0.0,0.0,1013,final,76.8,1016,0,,128,740,6259,3083,3083,8.3,1673942400,194,6.4,2.0
66,2023-01-18,5.9,31,262,130,100,821,523,12.2,1674079200,1.5,164,7.7,1674104400,5.0,1674054000,3.8,3.8,1018,final,78.2,1021,0,,62,744,6293,3111,1497,9.6,1674028800,164,9.2,3.2
57,2023-01-19,4.1,31,264,131,100,822,526,11.7,1674165600,1.6,266,7.0,1674115200,5.6,1674140400,0.5,0.5,1020,final,73.0,1023,0,,88,748,6328,3141,2114,8.8,1674115200,266,7.6,3.1
