collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-01-03,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,140556.42628571426,9.6
2023-01-04,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,108437.65479136688,11.9
2023-01-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,487763.801218107,12.7
2023-01-10,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,438814.3502222223,11.65
2023-01-11,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,653061.9653639848,12.5
2023-01-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,1635414.7131733336,15.85
2023-01-17,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,315482.3797410072,8.049999999999999
2023-01-18,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,36169.48460155039,8.6
2023-01-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,93559.5311020408,8.649999999999999
2023-01-24,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,67839.53671957673,10.55
2023-01-25,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,189949.44668013463,11.100000000000001
2023-01-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,34942.82230465549,14.450000000000001
2023-01-31,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,215063.94849249243,7.2
2023-02-01,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,537853.2278762886,7.25
2023-02-02,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,191751.0091851852,8.85
2023-02-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,580947.2604670913,8.9
2023-02-08,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,288954.6750877192,10.55
2023-02-09,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,157775.26502988508,10.85
2023-02-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,151278.86691625614,9.2
2023-02-15,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,516786.6100363636,8.9
2023-02-16,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,333426.7391834626,6.949999999999999
2023-02-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,339265.4040283688,10.25
2023-02-22,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,319030.11113178293,8.35
2023-02-23,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,367822.0357948719,7.5
2023-02-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,545576.9857122806,8.3
2023-03-01,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,330029.2701052632,8.6
2023-03-02,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,541234.8937599999,8.05
2023-03-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,42008.99638857142,9.1
2023-03-08,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,165995.8807912088,8.85
2023-03-09,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,639952.0812851405,8.55
2023-03-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,337302.44043781084,13.2
2023-03-15,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,38688.35530212766,10.0
2023-03-16,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,72341.97533004926,10.3
2023-03-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,475072.553060932,10.4
2023-03-22,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,59199.3121895093,11.4
2023-03-23,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,255557.87266230932,11.65
2023-03-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,17091.04187397647,9.85
2023-03-29,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,140333.28181719457,9.1
2023-03-30,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,55394.51299764706,9.45
2023-04-04,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,231330.34935139632,8.850000000000001
2023-04-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,110959.62522352944,9.15
2023-04-06,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,342125.90638849675,10.85
2023-04-11,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,365144.9781277737,13.95
2023-04-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,100879.39831932774,12.25
2023-04-13,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,442407.3534073872,11.950000000000001
2023-04-18,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,223075.22046973265,11.350000000000001
2023-04-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,230275.03801332388,11.65
2023-04-20,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,310450.0581333334,12.2
2023-04-25,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,130438.95356726344,15.55
2023-04-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,151007.00537502018,16.4
2023-04-27,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,170964.42727430342,18.9
2023-05-02,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,234626.42177471268,11.45
2023-05-03,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,38310.82330133335,12.5
2023-05-04,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,75343.31185333813,12.8
2023-05-09,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,408361.47323381127,13.350000000000001
2023-05-10,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,53905.8976146272,13.9
2023-05-11,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,216218.56639365503,14.7
2023-05-16,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,145860.875040724,16.85
2023-05-17,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,322345.03285392164,15.0
2023-05-18,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,200808.11458212847,14.45
