clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
22,2023-01-01,6.2,29,245,115,96,801,479,16.1,1672614000,2.7,304,6.7,1672610400,9.3,1672585200,0.0,0.0,1011,final,68.8,1011,0,,112,685,5869,2753,2679,12.2,1672560000,304,7.6,3.2
79,2023-01-02,6.2,29,245,115,96,801,481,11.4,1672693200,0.9,136,10.7,1672693200,7.9,1672714800,6.8,6.8,1011,final,80.5,1011,0,,29,686,5879,2765,701,9.5,1672646400,136,7.1,2.7
78,2023-01-03,7.6,29,245,116,96,802,482,11.7,1672801200,0.8,175,7.2,1672794000,7.6,1672747200,0.0,0.0,1014,final,87.3,1014,0,,27,689,5890,2778,639,9.6,1672732800,175,4.1,1.8
95,2023-01-04,9.5,29,246,116,96,803,484,15.5,1672876800,0.9,145,14.8,1672887600,9.4,1672822800,22.3,22.3,1006,final,83.0,1007,0,,28,692,5902,2792,662,12.4,1672819200,145,24.8,6.2
81,2023-01-05,9.7,29,247,117,97,804,486,14.4,1672916400,1.1,197,13.0,1672909200,10.8,1672981200,13.0,13.0,1012,final,83.2,1012,0,,38,695,5917,2807,911,12.5,1672905600,197,15.2,4.4
87,2023-01-06,9.0,29,247,118,97,805,488,15.3,1673046000,0.8,134,7.2,1673031600,11.0,1673017200,0.0,0.0,1022,final,77.5,1022,0,,29,698,5935,2823,690,12.9,1672992000,134,8.0,3.9
94,2023-01-07,7.9,29,248,118,97,806,490,15.1,1673128800,0.9,139,16.5,1673157600,11.8,1673143200,6.0,6.0,1014,final,69.3,1014,0,,30,701,5955,2840,721,13.4,1673078400,139,19.6,7.3
75,2023-01-08,10.4,29,249,119,97,807,492,16.2,1673215200,1.3,156,17.9,1673164800,11.8,1673164800,12.8,12.8,1014,final,78.3,1014,0,,58,705,5978,2859,1403,14.2,1673164800,156,16.2,4.4
85,2023-01-09,10.8,30,250,120,97,808,495,14.5,1673301600,0.9,192,9.8,1673258400,11.2,1673326800,19.5,19.5,1007,final,84.8,1007,0,,33,708,6003,2878,794,13.4,1673251200,192,24.4,3.9
71,2023-01-10,8.9,30,251,121,98,809,497,14.4,1673341200,1.3,192,15.7,1673366400,8.5,1673384400,15.3,15.3,1009,final,78.8,1009,0,,62,712,6030,2899,1490,12.5,1673337600,192,21.6,5.8
96,2023-01-11,10.1,30,252,122,98,811,500,15.3,1673506800,0.9,132,9.4,1673470800,10.9,1673445600,11.3,11.3,1017,final,83.9,1018,0,,24,715,6058,2921,579,12.8,1673424000,132,10.4,6.5
93,2023-01-12,11.0,30,254,123,98,812,502,18.5,1673564400,1.3,140,9.4,1673524800,13.3,1673542800,0.0,0.0,1018,final,74.4,1018,0,,52,719,6088,2943,1244,15.7,1673510400,140,7.5,3.6
91,2023-01-13,10.4,30,255,124,98,813,505,15.4,1673618400,1.4,149,11.2,1673629200,12.1,1673632800,8.3,8.3,1015,final,80.3,1015,0,,52,723,6118,2967,1252,13.8,1673596800,149,9.3,4.0
89,2023-01-14,10.5,30,256,125,98,814,508,14.7,1673726400,0.9,195,12.5,1673715600,10.3,1673762400,16.8,16.8,1006,final,86.1,1006,0,,30,727,6150,2992,731,12.8,1673683200,195,12.8,5.4
89,2023-01-15,8.3,30,258,126,99,816,511,12.2,1673812800,0.9,147,10.7,1673820000,8.7,1673848800,31.5,31.5,1004,final,86.1,1005,0,,25,731,6183,3018,591,10.5,1673769600,147,9.0,3.1
67,2023-01-16,6.4,31,259,127,99,817,515,12.6,1673899200,1.4,297,16.1,1673899200,8.0,1673866800,12.3,12.3,1004,final,76.3,1005,0,,60,735,6216,3045,1434,10.6,1673856000,297,8.8,3.7
7,2023-01-17,6.3,31,260,128,99,819,518,12.8,1673996400,3.0,193,4.5,1673974800,7.3,1673964000,0.0,0.0,1016,final,81.1,1016,0,,128,739,6250,3073,3073,9.5,1673942400,193,5.5,2.1
62,2023-01-18,7.3,31,262,129,99,820,521,12.1,1674079200,1.5,175,8.1,1674100800,7.0,1674054000,1.5,1.5,1020,final,84.2,1020,0,,62,743,6284,3102,1491,9.9,1674028800,175,6.7,2.5
36,2023-01-19,6.1,31,263,130,100,822,525,11.6,1674169200,1.6,283,7.6,1674165600,7.6,1674140400,0.0,0.0,1023,final,78.6,1023,0,,88,747,6319,3131,2106,9.7,1674115200,283,6.9,2.4
1,2023-01-20,1.2,31,265,132,100,823,528,13.2,1674255600,3.0,158,9.4,1674241200,7.5,1674284400,0.0,0.0,1026,final,54.2,1026,0,,132,751,6355,3162,3162,10.3,1674201600,158,6.9,2.9
26,2023-01-21,2.9,31,266,133,100,825,532,13.3,1674342000,2.5,199,6.3,1674334800,4.8,1674309600,0.0,0.0,1028,final,67.4,1028,0,,128,756,6391,3194,3067,8.9,1674288000,199,4.8,1.4
29,2023-01-22,2.7,32,268,134,100,826,536,15.6,1674424800,3.1,271,10.7,1674424800,6.4,1674399600,0.0,0.0,1022,final,61.8,1022,0,,133,760,6427,3226,3195,11.0,1674374400,271,11.9,3.8
4,2023-01-23,-0.7,32,269,136,101,828,540,16.9,1674518400,3.1,175,8.9,1674460800,9.6,1674543600,0.0,0.0,1021,final,40.9,1021,0,,136,764,6463,3260,3260,12.4,1674460800,175,8.2,2.6
3,2023-01-24,5.8,32,271,137,101,830,544,16.1,1674601200,3.2,228,7.2,1674594000,9.4,1674547200,0.0,0.0,1026,final,62.2,1026,0,,137,769,6499,3294,3294,13.1,1674547200,228,4.6,2.0
5,2023-01-25,5.5,32,272,139,101,831,548,17.7,1674691200,3.2,182,7.6,1674673200,7.6,1674655200,0.0,0.0,1027,final,65.0,1027,0,,139,773,6536,3329,3329,12.5,1674633600,182,3.1,1.4
0,2023-01-26,6.9,32,274,140,102,833,552,20.0,1674770400,3.2,209,13.0,1674756000,10.6,1674802800,0.0,0.0,1028,final,57.5,1028,0,,140,778,6573,3365,3365,15.5,1674720000,209,6.8,2.3
25,2023-01-27,7.3,33,275,142,102,835,556,13.7,1674856800,3.2,192,7.2,1674838800,8.3,1674831600,0.0,0.0,1022,final,83.0,1022,0,,134,783,6610,3402,3208,10.2,1674806400,192,5.7,1.6
47,2023-01-28,6.8,33,277,143,102,836,561,12.0,1674946800,2.5,192,7.6,1674950400,6.8,1674921600,0.0,0.0,1015,final,85.0,1016,0,,108,787,6646,3440,2592,9.3,1674892800,192,6.1,2.2
57,2023-01-29,4.3,33,278,145,103,838,565,9.6,1674979200,1.6,255,13.0,1675036800,7.8,1675040400,0.0,0.0,1011,final,74.1,1011,0,,90,792,6683,3478,2169,8.7,1674979200,255,7.8,3.0
3,2023-01-30,-4.5,33,280,147,103,840,570,12.8,1675119600,3.4,138,9.8,1675069200,5.9,1675090800,0.0,0.0,1018,final,39.1,1018,0,,147,796,6720,3517,3517,9.1,1675065600,138,7.0,1.8
2,2023-01-31,-3.9,33,282,148,103,842,574,14.1,1675209600,3.4,170,4.0,1675177200,4.6,1675166400,0.0,0.0,1021,final,41.7,1022,0,,148,801,6757,3557,3555,8.9,1675152000,170,3.3,1.2
46,2023-02-01,3.7,34,283,150,104,843,579,12.6,1675296000,1.1,226,6.3,1675285200,6.0,1675260000,0.0,0.0,1022,final,69.6,1022,0,,46,806,6793,3597,1096,9.2,1675238400,226,4.9,1.4
75,2023-02-02,5.6,34,285,152,104,845,584,14.2,1675404000,1.1,162,6.3,1675404000,5.9,1675346400,0.0,0.0,1023,final,73.9,1023,0,,38,810,6830,3638,907,10.3,1675324800,162,4.5,1.7
78,2023-02-03,8.2,34,286,153,104,847,588,14.0,1675414800,1.5,219,8.9,1675436400,9.5,1675436400,8.3,8.3,1023,final,81.8,1023,0,,53,815,6866,3680,1276,11.3,1675411200,219,7.7,2.7
81,2023-02-04,10.4,34,288,155,105,849,593,14.8,1675555200,1.2,181,11.2,1675551600,10.0,1675519200,3.3,3.3,1018,final,89.5,1018,0,,37,820,6902,3723,887,12.1,1675497600,181,12.2,3.3
46,2023-02-05,7.4,34,289,157,105,850,598,12.5,1675584000,2.5,263,16.5,1675623600,8.7,1675666800,5.0,5.0,1023,final,78.5,1023,0,,136,825,6938,3766,3254,11.0,1675584000,263,8.6,3.5
10,2023-02-06,5.7,35,291,159,105,852,603,14.8,1675724400,3.7,271,6.7,1675717200,7.3,1675695600,0.0,0.0,1028,final,74.0,1028,0,,159,829,6974,3809,3809,10.5,1675670400,271,5.1,2.1
25,2023-02-07,7.8,35,292,161,106,854,608,14.8,1675810800,1.2,224,5.8,1675814400,7.4,1675774800,0.0,0.0,1027,final,82.6,1027,0,,51,834,7009,3853,1236,10.8,1675756800,224,5.3,1.7
24,2023-02-08,8.4,35,294,162,106,856,613,16.5,1675900800,3.2,220,5.4,1675893600,8.0,1675864800,0.0,0.0,1027,final,83.4,1027,0,,117,839,7044,3898,2804,11.4,1675843200,220,4.5,1.5
17,2023-02-09,8.4,35,295,164,106,857,619,17.4,1675983600,3.9,192,5.8,1675983600,8.0,1675951200,0.0,0.0,1025,final,80.3,1025,0,,158,844,7079,3943,3799,12.0,1675929600,192,4.7,1.4
49,2023-02-10,6.8,35,296,166,107,859,624,13.3,1676066400,2.5,190,12.5,1676070000,7.8,1676037600,0.0,0.0,1021,final,78.5,1022,0,,121,848,7114,3989,2915,10.6,1676016000,190,7.1,2.4
57,2023-02-11,5.2,36,298,168,107,861,629,12.5,1676156400,1.6,166,8.1,1676160000,7.7,1676120400,1.8,1.8,1014,final,74.3,1014,0,,103,853,7148,4035,2460,9.7,1676102400,166,5.8,2.1
22,2023-02-12,7.1,36,299,170,107,863,634,17.2,1676239200,4.0,158,5.4,1676203200,7.1,1676206800,0.0,0.0,1014,final,78.7,1014,0,,164,858,7182,4082,3938,11.1,1676188800,158,4.9,1.8
71,2023-02-13,6.5,36,301,172,108,864,640,16.0,1676329200,4.1,197,14.3,1676350800,7.9,1676296800,0.0,0.0,1012,final,77.0,1012,0,,164,863,7216,4129,3947,10.8,1676275200,197,14.8,2.4
23,2023-02-14,0.8,36,302,174,108,866,645,10.9,1676419200,3.7,326,15.7,1676379600,7.5,1676386800,0.0,0.0,1017,final,56.8,1017,0,,169,867,7249,4176,4055,8.9,1676361600,326,19.2,5.3
1,2023-02-15,-1.0,36,303,176,108,868,650,13.6,1676502000,4.2,193,7.6,1676494800,7.3,1676466000,0.0,0.0,1023,final,49.3,1023,0,,176,872,7282,4224,4224,9.7,1676448000,193,6.8,2.6
77,2023-02-16,2.3,37,305,178,109,869,656,11.7,1676592000,1.5,203,4.5,1676595600,5.9,1676552400,0.0,0.0,1023,final,65.5,1023,0,,70,877,7314,4272,1674,9.0,1676534400,203,4.9,1.6
50,2023-02-17,2.7,37,306,180,109,871,661,16.8,1676678400,2.4,143,6.7,1676671200,9.0,1676642400,0.0,0.0,1019,final,57.3,1019,0,,143,884,7348,4320,3435,11.5,1676620800,143,4.9,1.6
39,2023-02-18,3.5,37,308,182,109,873,667,15.3,1676761200,3.7,218,4.5,1676750400,6.4,1676728800,0.0,0.0,1018,final,63.1,1018,0,,161,890,7385,4369,3856,10.8,1676707200,218,3.7,1.6
33,2023-02-19,3.9,37,309,184,110,874,672,16.5,1676847600,3.0,181,4.0,1676858400,6.9,1676815200,0.0,0.0,1018,final,61.8,1018,0,,122,897,7425,4419,2918,11.4,1676793600,181,3.2,1.0
47,2023-02-20,7.1,38,311,186,110,876,678,17.7,1676934000,3.5,195,4.5,1676941200,9.0,1676901600,0.0,0.0,1019,final,71.5,1019,0,,127,904,7468,4470,3044,12.5,1676880000,195,3.9,1.4
47,2023-02-21,4.9,38,313,188,110,877,683,13.4,1677006000,3.4,237,21.9,1677024000,7.4,1677049200,0.0,0.0,1010,final,69.7,1010,0,,158,910,7513,4520,3798,10.4,1676966400,237,22.8,4.6
58,2023-02-22,0.5,38,315,190,111,879,689,8.9,1677106800,2.3,296,16.1,1677099600,6.1,1677128400,0.0,0.0,1008,final,62.1,1008,0,,151,916,7559,4572,3622,7.4,1677052800,296,11.1,4.6
68,2023-02-23,2.3,38,317,193,111,881,694,8.6,1677196800,3.2,204,13.9,1677207600,5.2,1677164400,7.5,7.5,1009,final,71.8,1009,0,,154,923,7606,4623,3703,7.1,1677139200,204,11.7,5.2
72,2023-02-24,3.5,39,319,195,111,882,700,9.0,1677283200,3.0,174,11.6,1677225600,4.7,1677243600,16.5,16.5,1005,final,81.7,1005,0,,92,929,7652,4675,2200,6.4,1677225600,174,10.4,3.7
79,2023-02-25,3.7,39,321,197,111,884,705,9.0,1677373200,1.5,244,6.7,1677312000,5.3,1677337200,0.3,0.3,1012,final,78.8,1012,0,,55,935,7699,4727,1325,7.2,1677312000,244,4.7,2.1
75,2023-02-26,5.4,39,323,199,112,885,711,10.0,1677445200,1.5,167,9.8,1677445200,7.2,1677481200,8.8,8.8,1016,final,79.3,1016,0,,50,941,7744,4780,1207,8.8,1677398400,167,10.5,3.4
66,2023-02-27,3.8,39,325,201,112,887,716,10.2,1677538800,2.1,181,16.1,1677538800,5.6,1677499200,11.8,11.8,1014,final,77.5,1014,0,,80,947,7790,4833,1908,7.5,1677484800,181,20.0,4.0
84,2023-02-28,5.2,40,327,204,112,888,722,11.0,1677618000,1.8,220,11.2,1677625200,6.0,1677578400,12.5,12.5,1011,final,81.9,1011,0,,60,955,7843,4893,1447,8.1,1677571200,220,11.2,4.7
34,2023-03-01,1.0,40,330,208,113,891,733,13.2,1677715200,5.7,339,10.3,1677708000,4.6,1677679200,0.0,0.0,1013,final,61.0,1013,0,,208,967,7923,4992,4987,8.6,1677657600,339,9.7,4.4
27,2023-03-02,3.9,41,332,210,113,892,738,12.2,1677801600,5.7,202,7.2,1677805200,6.8,1677765600,0.0,0.0,1020,final,68.1,1020,0,,200,974,7971,5046,4791,9.7,1677744000,202,5.5,2.5
51,2023-03-03,5.7,41,334,213,114,894,744,12.5,1677884400,1.8,222,9.4,1677888000,7.8,1677852000,0.0,0.0,1017,final,77.8,1017,0,,86,982,8020,5100,2053,9.5,1677830400,222,6.2,2.4
67,2023-03-04,3.9,41,336,215,114,895,749,10.1,1677974400,4.1,226,12.5,1677952800,7.5,1677960000,3.3,3.3,1011,final,69.9,1012,0,,153,989,8070,5155,3672,9.1,1677916800,226,14.8,4.4
59,2023-03-05,3.1,41,338,217,114,896,755,10.1,1678060800,4.6,232,13.9,1678003200,6.5,1678010400,4.5,4.5,1015,final,68.3,1015,0,,205,995,8120,5209,4926,8.8,1678003200,232,10.3,3.5
69,2023-03-06,4.4,42,340,219,114,897,760,11.0,1678143600,2.9,172,8.1,1678140000,6.8,1678107600,4.0,4.0,1020,final,75.2,1020,0,,167,1002,8171,5264,4019,8.7,1678089600,172,6.5,3.0
45,2023-03-07,4.0,42,343,222,115,899,766,10.5,1678222800,2.3,167,7.2,1678226400,6.8,1678197600,1.5,1.5,1021,final,73.3,1022,0,,137,1009,8221,5319,3296,8.8,1678176000,167,6.6,3.0
45,2023-03-08,3.5,42,345,224,115,900,771,11.5,1678320000,5.0,224,9.4,1678273200,7.9,1678284000,4.0,4.0,1020,final,68.5,1020,0,,220,1015,8270,5373,5269,9.2,1678262400,224,6.6,2.6
91,2023-03-09,6.8,43,347,226,115,901,776,12.4,1678431600,2.0,137,12.5,1678424400,7.1,1678359600,26.0,26.0,1013,final,81.7,1013,0,,53,1022,8319,5428,1266,9.8,1678348800,137,22.4,5.0
73,2023-03-10,8.4,43,349,228,116,902,782,13.8,1678492800,2.6,247,11.2,1678435200,10.0,1678456800,9.3,9.3,1010,final,81.1,1010,0,,103,1028,8367,5483,2461,11.6,1678435200,247,20.4,2.6
66,2023-03-11,9.3,43,351,231,116,903,787,14.2,1678572000,2.3,200,6.7,1678568400,9.2,1678536000,0.3,0.3,1015,final,86.6,1015,0,,99,1034,8414,5538,2385,11.5,1678521600,200,6.8,1.8
76,2023-03-12,11.2,45,368,243,116,904,792,14.1,1678651200,2.2,161,9.4,1678662000,12.2,1678626000,5.0,5.0,1017,final,89.3,1017,0,,65,1040,8460,5592,1505,12.9,1678608000,161,9.6,3.7
78,2023-03-13,11.4,44,354,235,116,906,797,17.0,1678744800,2.9,182,7.6,1678741200,12.7,1678712400,1.5,1.5,1017,final,83.2,1017,0,,88,1046,8506,5647,2119,14.3,1678690800,182,7.9,3.4
78,2023-03-14,10.4,44,356,238,117,907,802,16.7,1678820400,2.1,192,17.0,1678820400,9.5,1678860000,19.0,19.0,1007,final,83.8,1007,0,,56,1051,8549,5701,1355,13.1,1678777200,192,15.4,6.6
