clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
70,2023-01-01,8.0,31,264,136,101,836,549,13.3,1672614000,1.5,211,10.3,1672567200,7.5,1672642800,6.0,6.0,974,final,83.0,1007,0,,87,742,6345,3256,2092,10.9,1672560000,211,14.4,3.3
74,2023-01-02,5.6,31,265,136,101,837,550,12.8,1672689600,2.2,140,6.1,1672711200,5.0,1672664400,2.0,2.0,981,final,80.7,1015,0,,57,743,6354,3268,1374,8.8,1672646400,140,8.2,1.8
97,2023-01-03,9.4,31,265,137,101,838,552,13.3,1672783200,1.0,66,4.5,1672772400,7.8,1672740000,5.3,5.3,985,final,90.1,1018,0,,18,744,6365,3281,439,11.0,1672732800,66,6.0,2.2
92,2023-01-04,11.9,31,266,137,101,838,554,16.1,1672866000,1.2,116,5.8,1672902000,12.2,1672902000,2.3,2.3,986,final,87.2,1018,0,,42,746,6376,3296,1003,14.1,1672819200,116,10.4,2.3
89,2023-01-05,10.3,31,266,138,101,839,556,13.9,1672952400,1.2,179,8.0,1672956000,9.0,1672984800,24.5,24.5,985,final,90.5,1018,0,,51,747,6388,3311,1235,11.9,1672905600,179,12.8,2.8
50,2023-01-06,7.2,31,267,139,102,840,558,16.1,1673046000,3.2,175,3.5,1673074800,6.7,1673010000,0.0,0.0,989,final,79.9,1022,0,,137,749,6401,3327,3284,10.9,1672992000,175,4.8,1.3
82,2023-01-07,3.5,31,267,139,102,841,560,19.4,1673125200,1.7,131,3.1,1673096400,6.1,1673085600,0.0,0.0,987,final,59.7,1020,0,,77,751,6414,3344,1844,12.0,1673078400,131,6.4,1.3
80,2023-01-08,4.8,31,268,140,102,842,562,17.2,1673218800,2.7,167,3.3,1673226000,6.7,1673186400,0.0,0.0,988,final,61.0,1020,0,,104,752,6428,3362,2494,12.5,1673164800,167,4.8,1.4
99,2023-01-09,8.3,31,268,141,102,843,565,13.9,1673251200,1.0,194,7.9,1673330400,10.6,1673326800,16.3,16.3,987,final,76.7,1019,0,,34,754,6442,3380,827,12.3,1673251200,194,9.8,2.2
96,2023-01-10,10.5,32,269,142,102,844,567,15.6,1673373600,1.2,173,13.6,1673377200,9.6,1673420400,16.8,16.8,985,final,93.0,1017,0,,38,757,6457,3400,916,11.6,1673337600,173,13.0,3.6
70,2023-01-11,6.7,32,270,143,102,845,570,13.9,1673478000,1.4,157,4.0,1673481600,6.7,1673438400,0.0,0.0,990,final,79.9,1023,0,,68,759,6473,3421,1633,10.2,1673424000,157,5.6,1.4
63,2023-01-12,5.3,32,270,143,103,846,573,20.6,1673560800,1.1,126,4.7,1673582400,6.7,1673521200,0.0,0.0,989,final,63.1,1022,0,,41,761,6489,3443,989,12.8,1673510400,126,7.2,1.6
80,2023-01-13,4.3,32,271,144,103,847,576,18.9,1673643600,1.2,156,5.0,1673654400,7.2,1673618400,0.0,0.0,987,final,59.4,1019,0,,51,764,6506,3465,1220,12.4,1673596800,156,5.2,1.4
94,2023-01-14,7.5,32,272,145,103,848,579,12.2,1673719200,1.1,150,6.9,1673733600,8.9,1673701200,36.3,36.3,981,final,85.2,1013,0,,23,769,6524,3489,560,10.0,1673683200,150,9.2,1.8
94,2023-01-15,9.2,32,273,146,103,850,582,12.2,1673820000,1.1,228,7.4,1673784000,8.3,1673852400,17.0,17.0,977,final,91.2,1010,0,,32,773,6545,3514,768,10.6,1673769600,228,11.8,3.3
91,2023-01-16,7.8,32,274,147,103,851,585,13.3,1673902800,1.6,178,9.6,1673902800,8.0,1673856000,11.3,11.3,975,final,84.3,1007,0,,70,778,6569,3540,1669,10.4,1673856000,178,14.0,4.0
