collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,Average
2023-01-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,527757.1386122447,0.15078775388921278
2023-01-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,389195.9064556354,0.11119883041589583
2023-01-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,198762.0133333333,0.05678914666666666
2023-01-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313013.5231773049,0.08943243519351568
2023-01-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,568464.4282469136,0.16241840807054675
2023-01-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,177868.14605504586,0.050819470301441676
2023-01-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,187832.54543089427,0.053666441551684076
2023-01-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,149804.95480341878,0.04280141565811965
2023-01-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,150878.65433962265,0.043108186954177896
2023-01-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,256297.58020618555,0.07322788005891016
2023-01-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,121605.5365490196,0.0347444390140056
2023-01-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,136392.97075338752,0.038969420215253577
2023-01-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,228895.96626666668,0.06539884750476191
2023-01-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,235550.44203921568,0.06730012629691877
2023-02-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,354998.42550724634,0.10142812157349895
2023-02-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,342849.4135111111,0.09795697528888889
2023-02-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,169614.4273777778,0.048461264965079374
2023-02-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,394020.0805245901,0.1125771658641686
2023-02-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,455043.3848553459,0.13001239567295597
2023-02-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,231768.9015384615,0.06621968615384614
2023-02-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,193560.1419079189,0.05530289768797683
2023-02-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,310579.0803393939,0.0887368800969697
2023-02-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,267393.8097087379,0.07639823134535369
2023-02-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,466755.3435588972,0.13335866958825635
2023-02-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,229866.1409185185,0.06567604026243386
2023-02-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,501109.0911161049,0.14317402603317284
2023-03-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,236003.0280193236,0.0674294365769496
2023-03-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,178507.33851094893,0.05100209671741398
2023-03-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,240083.00435327628,0.06859514410093608
2023-03-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,266708.9107403685,0.07620254592581957
2023-03-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,198217.1400251572,0.05663346857861634
2023-03-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,212947.11882251085,0.06084203394928881
2023-03-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,181389.5089523809,0.051825573986394535
2023-03-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,152002.04663247857,0.04342915618070816
2023-03-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,119759.2802424242,0.0342169372121212
2023-03-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,122063.79653731344,0.03487537043923241
2023-03-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,93703.98004705884,0.026772565727731096
2023-03-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,139738.0588017217,0.03992515965763477
2023-03-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,108467.92406917393,0.03099083544833541
2023-04-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,202232.93742969187,0.05778083926562625
2023-04-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,80220.60513584426,0.022920172895955503
2023-04-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,126018.52573320044,0.036005293066628696
2023-04-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313045.37482448976,0.08944153566413993
2023-04-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,75820.18949155082,0.021662911283300234
2023-04-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,117686.88833849329,0.03362482523956951
2023-04-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,255240.27849885737,0.07292579385681638
