"sample_id","collection_date","bcov_recovery","bcov_recovery_lci","bcov_recovery_uci","city","state","name","site_name","sewershed_pop","state_abbr","N_Gene_gc_g_dry_weight","N_Gene_gc_g_dry_weight_lci","N_Gene_gc_g_dry_weight_uci"
"COD110144","2021-07-29",1.804,1.699,1.902,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",5356.637828112449,3390.2150078714863,7661.580560963855
"COD110138","2021-07-30",2.076,1.926,2.292,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",35745.10699047619,29625.14047619048,42655.29201904763
"COD110132","2021-08-03",8.111,7.805,8.436,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",137282.23081967217,122276.59798032792,149323.02046775958
"COD110120","2021-08-04",1.039,0.973,1.095,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",224553.04080808084,203460.55854545455,259321.5403636364
"COD110114","2021-08-05",1.083,1.052,1.107,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",58317.80874538152,50087.05169477912,67502.43926104417
"COD110126","2021-08-06",0.864,0.831,0.897,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",24190.569362962964,15190.206192592595,29710.886651851855
"COD110112","2021-08-07",0.804,0.78,0.825,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",15438.484622222224,10981.216430933333,20290.838883555556
"COD110118","2021-08-09",18.212,17.244,19.243,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",204812.456,180711.9580740741,225357.85037037038
"COD110111","2021-08-10",1.411,1.314,1.492,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",121077.66367830688,109037.03703703705,133941.98342433866
"COD110110","2021-08-11",1.339,1.243,1.427,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11643.724135672514,9112.402709707603,14605.954376608188
"COD110119","2021-08-12",0.947,0.834,1.036,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110109","2021-08-13",1.088,1.041,1.132,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",27462.14011076923,21877.86102153846,33582.61891282051
"COD110117","2021-08-14",1.608,1.55,1.668,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4020.583973662552,1041.3534847736626,7159.640268641976
"COD110113","2021-08-16",0.84,0.77,0.902,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110124","2021-08-17",1.184,1.117,1.245,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",5333.693570370371,2409.927586878307,8519.31016973545
"COD110116","2021-08-18",0.877,0.841,0.913,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11831.428414623655,7625.167728172044,16243.41421247312
"COD110123","2021-08-19",0.749,0.688,0.817,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110125","2021-08-20",0.911,0.857,0.958,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",14322.126048735632,10418.601419770115,19096.812983908047
"COD110122","2021-08-21",0.999,0.938,1.06,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",5531.8986124590165,3176.6744918032787,8835.896117158467
"COD110130","2021-08-23",0.84,0.776,0.9,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",8641.81869767442,5028.297272558139,12628.326114728683
"COD110115","2021-08-24",0.986,0.948,1.024,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",4201.2527326315785,2412.55603368421,6710.501616842105
"COD110129","2021-08-25",1.202,1.124,1.274,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11495.079214035086,5475.261058245615,17385.482788304096
"COD110128","2021-08-26",1.869,1.777,1.951,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",31203.977799111108,24564.38700088889,38582.76367644445
"COD110121","2021-08-27",1.31,1.216,1.389,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",35453.26936140351,29154.744070175442,42601.865628070176
"COD110137","2021-08-28",0.648,0.607,0.694,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",41331.08624561404,33536.83781052631,48262.182035087724
"COD110136","2021-08-30",0.706,0.648,0.773,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",12017.197079176955,8982.304192263377,15669.68630781893
"COD110135","2021-08-31",1.219,1.164,1.274,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",581184.6769957807,555396.8083713079,607176.0603544303
"COD110134","2021-09-01",0.922,0.888,0.954,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",360604.85835294117,309546.28743529407,402963.466290196
"COD110127","2021-09-02",0.988,0.932,1.046,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",37076.36855934959,31252.725333333332,43583.16437073171
"COD110133","2021-09-03",1.302,1.234,1.369,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",14465.770772451791,11471.191387327826,17941.474917906336
"COD110131","2021-09-04",0.843,0.773,0.922,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",7859.305490632912,4545.450210295358,11186.66009113924
"COD110143","2021-09-06",0.819,0.747,0.878,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",72183.46709296819,64500.08210681733,80259.3004135858
"COD110142","2021-09-07",2.727,2.626,2.819,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",49676.14506666667,39608.64463820225,59069.32988164794
"COD110140","2021-09-08",1.41,1.294,1.551,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",101240.09961826133,91294.70883658105,111105.3817573635
"COD110141","2021-09-09",2.473,2.298,2.665,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",25885.795555555556,21453.78456666667,30890.110466666665
"COD110139","2021-09-10",1.099,1.052,1.144,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",159299.2304197531,145968.63736625513,172034.08697942388
"COD110106","2021-09-11",1.112,1.06,1.151,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",94135.95160493828,81119.41176625516,111608.8035160494
"COD110108","2021-09-13",0.962,0.924,0.997,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",16934.734399999998,13344.40256969697,21117.923842424243
"COD110103","2021-09-14",1.138,1.068,1.207,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",115710.14492753625,98550.72463768117,129855.07246376814
"COD110097","2021-09-15",1.483,1.409,1.557,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",208526.58332600733,194014.83217582418,222435.24911355312
"COD110105","2021-09-16",1.533,1.426,1.654,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",32585.940979145184,24561.486862323854,39688.54745229081
"COD110098","2021-09-17",1.499,1.411,1.595,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",11881.89895064745,9298.78502295763,14904.747564325926
"COD110101","2021-09-18",0.951,0.894,1.007,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",86740.97201651917,73910.21525899705,100265.07535103246
"COD110104","2021-09-20",0.612,0.541,0.676,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",27486.743697991966,21658.719306024093,34277.50997590361
"COD110102","2021-09-21",1.014,0.974,1.054,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110096","2021-09-22",0.789,0.748,0.824,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",542524.4900657278,514464.79474178405,575481.1461408451
"COD110100","2021-09-23",1.257,1.179,1.34,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",70179.04779130436,62742.64100869566,78181.75052753625
"COD110088","2021-09-24",1.234,1.184,1.287,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",9680.854281333333,6547.133624,13083.816568000002
"COD110095","2021-09-25",2.185,2.027,2.348,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",0,0,0
"COD110099","2021-09-27",0.94,0.883,0.997,"CODIGA","California","CODIGA, Stanford, CA","CODIGA",10000,"CA",24005.190222222223,19776.705819607847,28489.43074509804
